"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event"
"1",NA,"ACTUAL","actual",2019-01-01,2250,NA,NA,2019-01-01,7.71912984090673,"0"
"2",NA,"ACTUAL","actual",2019-01-02,3471,NA,NA,2019-01-02,8.15248607578024,"0"
"3",NA,"ACTUAL","actual",2019-01-03,2936,NA,NA,2019-01-03,7.98514393119862,"0"
"4",NA,"ACTUAL","actual",2019-01-04,2692,NA,NA,2019-01-04,7.8984110928116,"0"
"5",NA,"ACTUAL","actual",2019-01-05,2156,NA,NA,2019-01-05,7.67647364638916,"0"
"6",NA,"ACTUAL","actual",2019-01-06,1903,NA,NA,2019-01-06,7.55171221535131,"0"
"7",NA,"ACTUAL","actual",2019-01-07,2692,NA,NA,2019-01-07,7.8984110928116,"0"
"8",NA,"ACTUAL","actual",2019-01-08,2407,NA,NA,2019-01-08,7.78655180642871,"0"
"9",NA,"ACTUAL","actual",2019-01-09,2424,NA,NA,2019-01-09,7.79358680337158,"0"
"10",NA,"ACTUAL","actual",2019-01-10,2325,NA,NA,2019-01-10,7.75190533307861,"0"
"11",NA,"ACTUAL","actual",2019-01-11,2489,NA,NA,2019-01-11,7.82003798945875,"0"
"12",NA,"ACTUAL","actual",2019-01-12,2143,NA,NA,2019-01-12,7.67042852219069,"0"
"13",NA,"ACTUAL","actual",2019-01-13,1989,NA,NA,2019-01-13,7.59588991771854,"0"
"14",NA,"ACTUAL","actual",2019-01-14,2790,NA,NA,2019-01-14,7.93415523353632,"0"
"15",NA,"ACTUAL","actual",2019-01-15,2372,NA,NA,2019-01-15,7.77191025643576,"0"
"16",NA,"ACTUAL","actual",2019-01-16,2414,NA,NA,2019-01-16,7.78945456608667,"0"
"17",NA,"ACTUAL","actual",2019-01-17,2359,NA,NA,2019-01-17,7.76641689801966,"0"
"18",NA,"ACTUAL","actual",2019-01-18,2229,NA,NA,2019-01-18,7.70975686445416,"0"
"19",NA,"ACTUAL","actual",2019-01-19,2213,NA,NA,2019-01-19,7.70255611326858,"0"
"20",NA,"ACTUAL","actual",2019-01-20,2409,NA,NA,2019-01-20,7.7873820264847,"0"
"21",NA,"ACTUAL","actual",2019-01-21,3592,NA,NA,2019-01-21,8.18674278711352,"0"
"22",NA,"ACTUAL","actual",2019-01-22,3001,NA,NA,2019-01-22,8.00703401219341,"0"
"23",NA,"ACTUAL","actual",2019-01-23,2762,NA,NA,2019-01-23,7.92407232492342,"0"
"24",NA,"ACTUAL","actual",2019-01-24,2565,NA,NA,2019-01-24,7.85010354517558,"0"
"25",NA,"ACTUAL","actual",2019-01-25,2577,NA,NA,2019-01-25,7.85476918349913,"0"
"26",NA,"ACTUAL","actual",2019-01-26,2254,NA,NA,2019-01-26,7.72090525193678,"0"
"27",NA,"ACTUAL","actual",2019-01-27,2009,NA,NA,2019-01-27,7.60589000105312,"0"
"28",NA,"ACTUAL","actual",2019-01-28,2923,NA,NA,2019-01-28,7.98070782086967,"0"
"29",NA,"ACTUAL","actual",2019-01-29,2687,NA,NA,2019-01-29,7.89655270164304,"0"
"30",NA,"ACTUAL","actual",2019-01-30,3327,NA,NA,2019-01-30,8.1101268019411,"0"
"31",NA,"ACTUAL","actual",2019-01-31,3646,NA,NA,2019-01-31,8.20166019080868,"0"
"32",NA,"ACTUAL","actual",2019-02-01,3488,NA,NA,2019-02-01,8.15737044118677,"0"
"33",NA,"ACTUAL","actual",2019-02-02,2858,NA,NA,2019-02-02,7.95822719232231,"0"
"34",NA,"ACTUAL","actual",2019-02-03,2196,NA,NA,2019-02-03,7.69484807238461,"0"
"35",NA,"ACTUAL","actual",2019-02-04,3445,NA,NA,2019-02-04,8.14496941708788,"0"
"36",NA,"ACTUAL","actual",2019-02-05,2962,NA,NA,2019-02-05,7.99395754757357,"0"
"37",NA,"ACTUAL","actual",2019-02-06,2545,NA,NA,2019-02-06,7.84227877911735,"0"
"38",NA,"ACTUAL","actual",2019-02-07,2499,NA,NA,2019-02-07,7.82404601085629,"0"
"39",NA,"ACTUAL","actual",2019-02-08,2658,NA,NA,2019-02-08,7.88570539124302,"0"
"40",NA,"ACTUAL","actual",2019-02-09,2412,NA,NA,2019-02-09,7.78862606562503,"0"
"41",NA,"ACTUAL","actual",2019-02-10,2062,NA,NA,2019-02-10,7.63191651307125,"0"
"42",NA,"ACTUAL","actual",2019-02-11,2987,NA,NA,2019-02-11,8.00235954625271,"0"
"43",NA,"ACTUAL","actual",2019-02-12,2835,NA,NA,2019-02-12,7.95014988765202,"0"
"44",NA,"ACTUAL","actual",2019-02-13,2599,NA,NA,2019-02-13,7.86326672400957,"0"
"45",NA,"ACTUAL","actual",2019-02-14,2639,NA,NA,2019-02-14,7.87853419614036,"0"
"46",NA,"ACTUAL","actual",2019-02-15,2657,NA,NA,2019-02-15,7.88532923927319,"0"
"47",NA,"ACTUAL","actual",2019-02-16,2429,NA,NA,2019-02-16,7.79564653633459,"0"
"48",NA,"ACTUAL","actual",2019-02-17,2171,NA,NA,2019-02-17,7.68340368105383,"0"
"49",NA,"ACTUAL","actual",2019-02-18,3450,NA,NA,2019-02-18,8.146419323098,"0"
"50",NA,"ACTUAL","actual",2019-02-19,2906,NA,NA,2019-02-19,7.97487690055888,"0"
"51",NA,"ACTUAL","actual",2019-02-20,2982,NA,NA,2019-02-20,8.00068478451475,"0"
"52",NA,"ACTUAL","actual",2019-02-21,2808,NA,NA,2019-02-21,7.94058382710424,"0"
"53",NA,"ACTUAL","actual",2019-02-22,2821,NA,NA,2019-02-22,7.94520113241276,"0"
"54",NA,"ACTUAL","actual",2019-02-23,2878,NA,NA,2019-02-23,7.96519829061218,"0"
"55",NA,"ACTUAL","actual",2019-02-24,2295,NA,NA,2019-02-24,7.73892375743946,"0"
"56",NA,"ACTUAL","actual",2019-02-25,3873,NA,NA,2019-02-25,8.26204284396694,"0"
"57",NA,"ACTUAL","actual",2019-02-26,3270,NA,NA,2019-02-26,8.09285102753838,"0"
"58",NA,"ACTUAL","actual",2019-02-27,3155,NA,NA,2019-02-27,8.05706068196577,"0"
"59",NA,"ACTUAL","actual",2019-02-28,3516,NA,NA,2019-02-28,8.16536363247398,"0"
"60",NA,"ACTUAL","actual",2019-03-01,4292,NA,NA,2019-03-01,8.36474106822456,"0"
"61",NA,"ACTUAL","actual",2019-03-02,2872,NA,NA,2019-03-02,7.96311205897929,"0"
"62",NA,"ACTUAL","actual",2019-03-03,2485,NA,NA,2019-03-03,7.81843027207066,"0"
"63",NA,"ACTUAL","actual",2019-03-04,4670,NA,NA,2019-03-04,8.44912846050211,"0"
"64",NA,"ACTUAL","actual",2019-03-05,4152,NA,NA,2019-03-05,8.33158624363075,"0"
"65",NA,"ACTUAL","actual",2019-03-06,3457,NA,NA,2019-03-06,8.14844566624324,"0"
"66",NA,"ACTUAL","actual",2019-03-07,3244,NA,NA,2019-03-07,8.08487062913819,"0"
"67",NA,"ACTUAL","actual",2019-03-08,3481,NA,NA,2019-03-08,8.15536212032814,"0"
"68",NA,"ACTUAL","actual",2019-03-09,2675,NA,NA,2019-03-09,7.89207842124812,"0"
"69",NA,"ACTUAL","actual",2019-03-10,2175,NA,NA,2019-03-10,7.68524360797583,"0"
"70",NA,"ACTUAL","actual",2019-03-11,4344,NA,NA,2019-03-11,8.37678103769949,"0"
"71",NA,"ACTUAL","actual",2019-03-12,3465,NA,NA,2019-03-12,8.15075647027555,"0"
"72",NA,"ACTUAL","actual",2019-03-13,4018,NA,NA,2019-03-13,8.2987883944492,"0"
"73",NA,"ACTUAL","actual",2019-03-14,3619,NA,NA,2019-03-14,8.19422930481982,"0"
"74",NA,"ACTUAL","actual",2019-03-15,3660,NA,NA,2019-03-15,8.20549161312024,"0"
"75",NA,"ACTUAL","actual",2019-03-16,2658,NA,NA,2019-03-16,7.88570539124302,"0"
"76",NA,"ACTUAL","actual",2019-03-17,2157,NA,NA,2019-03-17,7.67693714581808,"0"
"77",NA,"ACTUAL","actual",2019-03-18,4222,NA,NA,2019-03-18,8.34830105493394,"0"
"78",NA,"ACTUAL","actual",2019-03-19,3604,NA,NA,2019-03-19,8.19007704971905,"0"
"79",NA,"ACTUAL","actual",2019-03-20,3630,NA,NA,2019-03-20,8.19726337141434,"0"
"80",NA,"ACTUAL","actual",2019-03-21,3607,NA,NA,2019-03-21,8.19090888118251,"0"
"81",NA,"ACTUAL","actual",2019-03-22,3737,NA,NA,2019-03-22,8.22630598801551,"0"
"82",NA,"ACTUAL","actual",2019-03-23,2657,NA,NA,2019-03-23,7.88532923927319,"0"
"83",NA,"ACTUAL","actual",2019-03-24,2174,NA,NA,2019-03-24,7.68478394352278,"0"
"84",NA,"ACTUAL","actual",2019-03-25,4888,NA,NA,2019-03-25,8.49474306257865,"0"
"85",NA,"ACTUAL","actual",2019-03-26,4245,NA,NA,2019-03-26,8.3537326422632,"0"
"86",NA,"ACTUAL","actual",2019-03-27,4190,NA,NA,2019-03-27,8.34069464792507,"0"
"87",NA,"ACTUAL","actual",2019-03-28,3951,NA,NA,2019-03-28,8.28197705886776,"0"
"88",NA,"ACTUAL","actual",2019-03-29,3884,NA,NA,2019-03-29,8.26487826280175,"0"
"89",NA,"ACTUAL","actual",2019-03-30,2660,NA,NA,2019-03-30,7.88645727097769,"0"
"90",NA,"ACTUAL","actual",2019-03-31,2294,NA,NA,2019-03-31,7.73848812249465,"0"
"91",NA,"ACTUAL","actual",2019-04-01,5737,NA,NA,2019-04-01,8.65486599654131,"0"
"92",NA,"ACTUAL","actual",2019-04-02,4978,NA,NA,2019-04-02,8.51298434664218,"0"
"93",NA,"ACTUAL","actual",2019-04-03,5091,NA,NA,2019-04-03,8.5354259596773,"0"
"94",NA,"ACTUAL","actual",2019-04-04,4161,NA,NA,2019-04-04,8.33375100695358,"0"
"95",NA,"ACTUAL","actual",2019-04-05,4987,NA,NA,2019-04-05,8.51479030679993,"0"
"96",NA,"ACTUAL","actual",2019-04-06,2825,NA,NA,2019-04-06,7.94661756324447,"0"
"97",NA,"ACTUAL","actual",2019-04-07,2615,NA,NA,2019-04-07,7.86940171257709,"0"
