"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event"
"1",NA,"ACTUAL","actual",2019-01-01,539,NA,NA,2019-01-01,6.29156913955832,"0"
"2",NA,"ACTUAL","actual",2019-01-02,775,NA,NA,2019-01-02,6.65415252018322,"0"
"3",NA,"ACTUAL","actual",2019-01-03,716,NA,NA,2019-01-03,6.57507584059962,"0"
"4",NA,"ACTUAL","actual",2019-01-04,640,NA,NA,2019-01-04,6.46302945692067,"0"
"5",NA,"ACTUAL","actual",2019-01-05,589,NA,NA,2019-01-05,6.38012253689976,"0"
"6",NA,"ACTUAL","actual",2019-01-06,571,NA,NA,2019-01-06,6.3491389913798,"0"
"7",NA,"ACTUAL","actual",2019-01-07,647,NA,NA,2019-01-07,6.47389069635227,"0"
"8",NA,"ACTUAL","actual",2019-01-08,639,NA,NA,2019-01-08,6.46146817635372,"0"
"9",NA,"ACTUAL","actual",2019-01-09,591,NA,NA,2019-01-09,6.38350663488401,"0"
"10",NA,"ACTUAL","actual",2019-01-10,596,NA,NA,2019-01-10,6.3919171133926,"0"
"11",NA,"ACTUAL","actual",2019-01-11,504,NA,NA,2019-01-11,6.22455842927536,"0"
"12",NA,"ACTUAL","actual",2019-01-12,479,NA,NA,2019-01-12,6.17378610390194,"0"
"13",NA,"ACTUAL","actual",2019-01-13,518,NA,NA,2019-01-13,6.25190388316589,"0"
"14",NA,"ACTUAL","actual",2019-01-14,650,NA,NA,2019-01-14,6.47850964220857,"0"
"15",NA,"ACTUAL","actual",2019-01-15,637,NA,NA,2019-01-15,6.45833828334479,"0"
"16",NA,"ACTUAL","actual",2019-01-16,588,NA,NA,2019-01-16,6.37842618365159,"0"
"17",NA,"ACTUAL","actual",2019-01-17,534,NA,NA,2019-01-17,6.28226674689601,"0"
"18",NA,"ACTUAL","actual",2019-01-18,517,NA,NA,2019-01-18,6.24997524225948,"0"
"19",NA,"ACTUAL","actual",2019-01-19,425,NA,NA,2019-01-19,6.05443934626937,"0"
"20",NA,"ACTUAL","actual",2019-01-20,522,NA,NA,2019-01-20,6.25958146406492,"0"
"21",NA,"ACTUAL","actual",2019-01-21,547,NA,NA,2019-01-21,6.30627528694802,"0"
"22",NA,"ACTUAL","actual",2019-01-22,537,NA,NA,2019-01-22,6.28785856016178,"0"
"23",NA,"ACTUAL","actual",2019-01-23,578,NA,NA,2019-01-23,6.361302477573,"0"
"24",NA,"ACTUAL","actual",2019-01-24,562,NA,NA,2019-01-24,6.33327962813969,"0"
"25",NA,"ACTUAL","actual",2019-01-25,460,NA,NA,2019-01-25,6.13339804299665,"0"
"26",NA,"ACTUAL","actual",2019-01-26,460,NA,NA,2019-01-26,6.13339804299665,"0"
"27",NA,"ACTUAL","actual",2019-01-27,499,NA,NA,2019-01-27,6.21460809842219,"0"
"28",NA,"ACTUAL","actual",2019-01-28,592,NA,NA,2019-01-28,6.38519439899773,"0"
"29",NA,"ACTUAL","actual",2019-01-29,598,NA,NA,2019-01-29,6.39526159811545,"0"
"30",NA,"ACTUAL","actual",2019-01-30,559,NA,NA,2019-01-30,6.32793678372919,"0"
"31",NA,"ACTUAL","actual",2019-01-31,565,NA,NA,2019-01-31,6.33859407820318,"0"
"32",NA,"ACTUAL","actual",2019-02-01,584,NA,NA,2019-02-01,6.37161184723186,"0"
"33",NA,"ACTUAL","actual",2019-02-02,569,NA,NA,2019-02-02,6.3456363608286,"0"
"34",NA,"ACTUAL","actual",2019-02-03,507,NA,NA,2019-02-03,6.23048144757848,"0"
"35",NA,"ACTUAL","actual",2019-02-04,625,NA,NA,2019-02-04,6.4393503711001,"0"
"36",NA,"ACTUAL","actual",2019-02-05,589,NA,NA,2019-02-05,6.38012253689976,"0"
"37",NA,"ACTUAL","actual",2019-02-06,602,NA,NA,2019-02-06,6.40191719672719,"0"
"38",NA,"ACTUAL","actual",2019-02-07,494,NA,NA,2019-02-07,6.20455776256869,"0"
"39",NA,"ACTUAL","actual",2019-02-08,444,NA,NA,2019-02-08,6.09807428216624,"0"
"40",NA,"ACTUAL","actual",2019-02-09,495,NA,NA,2019-02-09,6.20657592672493,"0"
"41",NA,"ACTUAL","actual",2019-02-10,485,NA,NA,2019-02-10,6.18620862390049,"0"
"42",NA,"ACTUAL","actual",2019-02-11,530,NA,NA,2019-02-11,6.27476202124194,"0"
"43",NA,"ACTUAL","actual",2019-02-12,526,NA,NA,2019-02-12,6.26720054854136,"0"
"44",NA,"ACTUAL","actual",2019-02-13,529,NA,NA,2019-02-13,6.27287700654617,"0"
"45",NA,"ACTUAL","actual",2019-02-14,402,NA,NA,2019-02-14,5.99893656194668,"0"
"46",NA,"ACTUAL","actual",2019-02-15,419,NA,NA,2019-02-15,6.04025471127741,"0"
"47",NA,"ACTUAL","actual",2019-02-16,408,NA,NA,2019-02-16,6.0137151560428,"0"
"48",NA,"ACTUAL","actual",2019-02-17,513,NA,NA,2019-02-17,6.24222326545517,"0"
"49",NA,"ACTUAL","actual",2019-02-18,539,NA,NA,2019-02-18,6.29156913955832,"0"
"50",NA,"ACTUAL","actual",2019-02-19,550,NA,NA,2019-02-19,6.31173480915291,"0"
"51",NA,"ACTUAL","actual",2019-02-20,562,NA,NA,2019-02-20,6.33327962813969,"0"
