"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event"
"1",NA,"ACTUAL","actual",2019-01-01,1612,NA,NA,2019-01-01,7.38585107812521,"0"
"2",NA,"ACTUAL","actual",2019-01-02,4810,NA,NA,2019-01-02,8.47866024169945,"0"
"3",NA,"ACTUAL","actual",2019-01-03,4328,NA,NA,2019-01-03,8.37309184744198,"0"
"4",NA,"ACTUAL","actual",2019-01-04,4287,NA,NA,2019-01-04,8.36357570275064,"0"
"5",NA,"ACTUAL","actual",2019-01-05,3868,NA,NA,2019-01-05,8.26075135470051,"0"
"6",NA,"ACTUAL","actual",2019-01-06,1932,NA,NA,2019-01-06,7.56682847920833,"0"
"7",NA,"ACTUAL","actual",2019-01-07,3992,NA,NA,2019-01-07,8.29229810706322,"0"
"8",NA,"ACTUAL","actual",2019-01-08,3326,NA,NA,2019-01-08,8.10982627601848,"0"
"9",NA,"ACTUAL","actual",2019-01-09,3300,NA,NA,2019-01-09,8.10198073185319,"0"
"10",NA,"ACTUAL","actual",2019-01-10,3224,NA,NA,2019-01-10,8.07868822922987,"0"
"11",NA,"ACTUAL","actual",2019-01-11,2963,NA,NA,2019-01-11,7.99429498641598,"0"
"12",NA,"ACTUAL","actual",2019-01-12,2586,NA,NA,2019-01-12,7.85825418218603,"0"
"13",NA,"ACTUAL","actual",2019-01-13,1551,NA,NA,2019-01-13,7.34729970074316,"0"
"14",NA,"ACTUAL","actual",2019-01-14,3459,NA,NA,2019-01-14,8.14902386805177,"0"
"15",NA,"ACTUAL","actual",2019-01-15,3094,NA,NA,2019-01-15,8.0375431851187,"0"
"16",NA,"ACTUAL","actual",2019-01-16,2947,NA,NA,2019-01-16,7.98888225330923,"0"
"17",NA,"ACTUAL","actual",2019-01-17,2818,NA,NA,2019-01-17,7.94413749111411,"0"
"18",NA,"ACTUAL","actual",2019-01-18,2805,NA,NA,2019-01-18,7.93951526066241,"0"
"19",NA,"ACTUAL","actual",2019-01-19,2537,NA,NA,2019-01-19,7.83913164827433,"0"
"20",NA,"ACTUAL","actual",2019-01-20,1582,NA,NA,2019-01-20,7.36707705988101,"0"
"21",NA,"ACTUAL","actual",2019-01-21,3438,NA,NA,2019-01-21,8.14293601043227,"0"
"22",NA,"ACTUAL","actual",2019-01-22,3174,NA,NA,2019-01-22,8.06306291132679,"0"
"23",NA,"ACTUAL","actual",2019-01-23,2879,NA,NA,2019-01-23,7.96554557312999,"0"
"24",NA,"ACTUAL","actual",2019-01-24,2874,NA,NA,2019-01-24,7.96380795323145,"0"
"25",NA,"ACTUAL","actual",2019-01-25,3055,NA,NA,2019-01-25,8.02486215028641,"0"
"26",NA,"ACTUAL","actual",2019-01-26,2725,NA,NA,2019-01-26,7.91059061225648,"0"
"27",NA,"ACTUAL","actual",2019-01-27,1613,NA,NA,2019-01-27,7.38647084882989,"0"
"28",NA,"ACTUAL","actual",2019-01-28,3292,NA,NA,2019-01-28,8.09955428237636,"0"
"29",NA,"ACTUAL","actual",2019-01-29,2822,NA,NA,2019-01-29,7.94555542825349,"0"
"30",NA,"ACTUAL","actual",2019-01-30,2916,NA,NA,2019-01-30,7.97831096986772,"0"
"31",NA,"ACTUAL","actual",2019-01-31,2985,NA,NA,2019-01-31,8.00168997809913,"0"
"32",NA,"ACTUAL","actual",2019-02-01,3866,NA,NA,2019-02-01,8.2602342916073,"0"
"33",NA,"ACTUAL","actual",2019-02-02,3176,NA,NA,2019-02-02,8.06369263426952,"0"
"34",NA,"ACTUAL","actual",2019-02-03,1920,NA,NA,2019-02-03,7.56060116276856,"0"
"35",NA,"ACTUAL","actual",2019-02-04,4545,NA,NA,2019-02-04,8.42200300441249,"0"
"36",NA,"ACTUAL","actual",2019-02-05,4141,NA,NA,2019-02-05,8.32893404195553,"0"
"37",NA,"ACTUAL","actual",2019-02-06,3355,NA,NA,2019-02-06,8.1185050675871,"0"
"38",NA,"ACTUAL","actual",2019-02-07,3222,NA,NA,2019-02-07,8.07806788181544,"0"
"39",NA,"ACTUAL","actual",2019-02-08,3060,NA,NA,2019-02-08,8.02649693894541,"0"
"40",NA,"ACTUAL","actual",2019-02-09,2866,NA,NA,2019-02-09,7.96102146588337,"0"
"41",NA,"ACTUAL","actual",2019-02-10,1609,NA,NA,2019-02-10,7.38398945797851,"0"
"42",NA,"ACTUAL","actual",2019-02-11,4590,NA,NA,2019-02-11,8.43185314424922,"0"
"43",NA,"ACTUAL","actual",2019-02-12,3294,NA,NA,2019-02-12,8.10016144693661,"0"
"44",NA,"ACTUAL","actual",2019-02-13,2989,NA,NA,2019-02-13,8.00302866638473,"0"
"45",NA,"ACTUAL","actual",2019-02-14,2649,NA,NA,2019-02-14,7.88231491898027,"0"
"46",NA,"ACTUAL","actual",2019-02-15,2878,NA,NA,2019-02-15,7.96519829061218,"0"
"47",NA,"ACTUAL","actual",2019-02-16,2675,NA,NA,2019-02-16,7.89207842124812,"0"
"48",NA,"ACTUAL","actual",2019-02-17,1684,NA,NA,2019-02-17,7.42952084278646,"0"
"49",NA,"ACTUAL","actual",2019-02-18,4305,NA,NA,2019-02-18,8.36776467792431,"0"
"50",NA,"ACTUAL","actual",2019-02-19,3515,NA,NA,2019-02-19,8.16507925880507,"0"
"51",NA,"ACTUAL","actual",2019-02-20,3197,NA,NA,2019-02-20,8.0702808933939,"0"
"52",NA,"ACTUAL","actual",2019-02-21,3083,NA,NA,2019-02-21,8.03398273468322,"0"
