"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event"
"1",NA,"ACTUAL","actual",2019-01-01,560,NA,NA,2019-01-01,6.3297209055227,"0"
"2",NA,"ACTUAL","actual",2019-01-02,502,NA,NA,2019-01-02,6.22059017009974,"0"
"3",NA,"ACTUAL","actual",2019-01-03,443,NA,NA,2019-01-03,6.09582456243222,"0"
"4",NA,"ACTUAL","actual",2019-01-04,428,NA,NA,2019-01-04,6.06145691892802,"0"
"5",NA,"ACTUAL","actual",2019-01-05,444,NA,NA,2019-01-05,6.09807428216624,"0"
"6",NA,"ACTUAL","actual",2019-01-06,426,NA,NA,2019-01-06,6.05678401322862,"0"
"7",NA,"ACTUAL","actual",2019-01-07,405,NA,NA,2019-01-07,6.00635315960173,"0"
"8",NA,"ACTUAL","actual",2019-01-08,369,NA,NA,2019-01-08,5.91350300563827,"0"
"9",NA,"ACTUAL","actual",2019-01-09,385,NA,NA,2019-01-09,5.95583736946483,"0"
"10",NA,"ACTUAL","actual",2019-01-10,497,NA,NA,2019-01-10,6.21060007702465,"0"
"11",NA,"ACTUAL","actual",2019-01-11,453,NA,NA,2019-01-11,6.11809719804135,"0"
"12",NA,"ACTUAL","actual",2019-01-12,498,NA,NA,2019-01-12,6.21260609575152,"0"
"13",NA,"ACTUAL","actual",2019-01-13,476,NA,NA,2019-01-13,6.16751649088834,"0"
"14",NA,"ACTUAL","actual",2019-01-14,536,NA,NA,2019-01-14,6.28599809450886,"0"
"15",NA,"ACTUAL","actual",2019-01-15,407,NA,NA,2019-01-15,6.01126717440416,"0"
"16",NA,"ACTUAL","actual",2019-01-16,449,NA,NA,2019-01-16,6.10924758276437,"0"
"17",NA,"ACTUAL","actual",2019-01-17,367,NA,NA,2019-01-17,5.90808293816893,"0"
"18",NA,"ACTUAL","actual",2019-01-18,442,NA,NA,2019-01-18,6.09356977004514,"0"
"19",NA,"ACTUAL","actual",2019-01-19,451,NA,NA,2019-01-19,6.11368217983223,"0"
"20",NA,"ACTUAL","actual",2019-01-20,522,NA,NA,2019-01-20,6.25958146406492,"0"
"21",NA,"ACTUAL","actual",2019-01-21,922,NA,NA,2019-01-21,6.82762923450285,"0"
"22",NA,"ACTUAL","actual",2019-01-22,598,NA,NA,2019-01-22,6.39526159811545,"0"
"23",NA,"ACTUAL","actual",2019-01-23,461,NA,NA,2019-01-23,6.13556489108174,"0"
"24",NA,"ACTUAL","actual",2019-01-24,390,NA,NA,2019-01-24,5.96870755998537,"0"
"25",NA,"ACTUAL","actual",2019-01-25,578,NA,NA,2019-01-25,6.361302477573,"0"
"26",NA,"ACTUAL","actual",2019-01-26,486,NA,NA,2019-01-26,6.18826412308259,"0"
"27",NA,"ACTUAL","actual",2019-01-27,555,NA,NA,2019-01-27,6.32076829425058,"0"
"28",NA,"ACTUAL","actual",2019-01-28,519,NA,NA,2019-01-28,6.25382881157547,"0"
"29",NA,"ACTUAL","actual",2019-01-29,428,NA,NA,2019-01-29,6.06145691892802,"0"
"30",NA,"ACTUAL","actual",2019-01-30,633,NA,NA,2019-01-30,6.45204895443723,"0"
"31",NA,"ACTUAL","actual",2019-01-31,731,NA,NA,2019-01-31,6.59578051396131,"0"
"32",NA,"ACTUAL","actual",2019-02-01,575,NA,NA,2019-02-01,6.35610766069589,"0"
"33",NA,"ACTUAL","actual",2019-02-02,576,NA,NA,2019-02-02,6.3578422665081,"0"
"34",NA,"ACTUAL","actual",2019-02-03,496,NA,NA,2019-02-03,6.20859002609663,"0"
"35",NA,"ACTUAL","actual",2019-02-04,441,NA,NA,2019-02-04,6.0913098820777,"0"
"36",NA,"ACTUAL","actual",2019-02-05,415,NA,NA,2019-02-05,6.03068526026126,"0"
"37",NA,"ACTUAL","actual",2019-02-06,393,NA,NA,2019-02-06,5.97635090929793,"0"
"38",NA,"ACTUAL","actual",2019-02-07,362,NA,NA,2019-02-07,5.89440283426485,"0"
"39",NA,"ACTUAL","actual",2019-02-08,394,NA,NA,2019-02-08,5.97888576490112,"0"
"40",NA,"ACTUAL","actual",2019-02-09,410,NA,NA,2019-02-09,6.01859321449623,"0"
"41",NA,"ACTUAL","actual",2019-02-10,329,NA,NA,2019-02-10,5.79909265446053,"0"
"42",NA,"ACTUAL","actual",2019-02-11,441,NA,NA,2019-02-11,6.0913098820777,"0"
"43",NA,"ACTUAL","actual",2019-02-12,417,NA,NA,2019-02-12,6.03548143252476,"0"
"44",NA,"ACTUAL","actual",2019-02-13,394,NA,NA,2019-02-13,5.97888576490112,"0"
"45",NA,"ACTUAL","actual",2019-02-14,323,NA,NA,2019-02-14,5.78074351579233,"0"
"46",NA,"ACTUAL","actual",2019-02-15,387,NA,NA,2019-02-15,5.96100533962327,"0"
"47",NA,"ACTUAL","actual",2019-02-16,425,NA,NA,2019-02-16,6.05443934626937,"0"
"48",NA,"ACTUAL","actual",2019-02-17,389,NA,NA,2019-02-17,5.96614673912369,"0"
"49",NA,"ACTUAL","actual",2019-02-18,437,NA,NA,2019-02-18,6.08221891037645,"0"
"50",NA,"ACTUAL","actual",2019-02-19,407,NA,NA,2019-02-19,6.01126717440416,"0"
"51",NA,"ACTUAL","actual",2019-02-20,359,NA,NA,2019-02-20,5.88610403145016,"0"
"52",NA,"ACTUAL","actual",2019-02-21,384,NA,NA,2019-02-21,5.95324333428778,"0"
"53",NA,"ACTUAL","actual",2019-02-22,433,NA,NA,2019-02-22,6.07304453410041,"0"
"54",NA,"ACTUAL","actual",2019-02-23,487,NA,NA,2019-02-23,6.19031540585315,"0"
"55",NA,"ACTUAL","actual",2019-02-24,470,NA,NA,2019-02-24,6.15485809401642,"0"
"56",NA,"ACTUAL","actual",2019-02-25,451,NA,NA,2019-02-25,6.11368217983223,"0"
"57",NA,"ACTUAL","actual",2019-02-26,337,NA,NA,2019-02-26,5.82304589548302,"0"
"58",NA,"ACTUAL","actual",2019-02-27,369,NA,NA,2019-02-27,5.91350300563827,"0"
"59",NA,"ACTUAL","actual",2019-02-28,393,NA,NA,2019-02-28,5.97635090929793,"0"
"60",NA,"ACTUAL","actual",2019-03-01,396,NA,NA,2019-03-01,5.98393628068719,"0"
"61",NA,"ACTUAL","actual",2019-03-02,396,NA,NA,2019-03-02,5.98393628068719,"0"
"62",NA,"ACTUAL","actual",2019-03-03,422,NA,NA,2019-03-03,6.04737217904628,"0"
"63",NA,"ACTUAL","actual",2019-03-04,515,NA,NA,2019-03-04,6.24610676548156,"0"
"64",NA,"ACTUAL","actual",2019-03-05,431,NA,NA,2019-03-05,6.06842558824411,"0"
"65",NA,"ACTUAL","actual",2019-03-06,472,NA,NA,2019-03-06,6.15909538849193,"0"
"66",NA,"ACTUAL","actual",2019-03-07,423,NA,NA,2019-03-07,6.04973345523196,"0"
"67",NA,"ACTUAL","actual",2019-03-08,387,NA,NA,2019-03-08,5.96100533962327,"0"
