"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event"
"1",NA,"ACTUAL","actual",2019-01-01,12,NA,NA,2019-01-01,2.56494935746154,"0"
"2",NA,"ACTUAL","actual",2019-01-02,119,NA,NA,2019-01-02,4.78749174278205,"0"
"3",NA,"ACTUAL","actual",2019-01-03,59,NA,NA,2019-01-03,4.0943445622221,"0"
"4",NA,"ACTUAL","actual",2019-01-04,53,NA,NA,2019-01-04,3.98898404656427,"0"
"5",NA,"ACTUAL","actual",2019-01-05,43,NA,NA,2019-01-05,3.78418963391826,"0"
"6",NA,"ACTUAL","actual",2019-01-06,10,NA,NA,2019-01-06,2.39789527279837,"0"
"7",NA,"ACTUAL","actual",2019-01-07,42,NA,NA,2019-01-07,3.76120011569356,"0"
"8",NA,"ACTUAL","actual",2019-01-08,198,NA,NA,2019-01-08,5.29330482472449,"0"
"9",NA,"ACTUAL","actual",2019-01-09,97,NA,NA,2019-01-09,4.58496747867057,"0"
"10",NA,"ACTUAL","actual",2019-01-10,118,NA,NA,2019-01-10,4.77912349311153,"0"
"11",NA,"ACTUAL","actual",2019-01-11,116,NA,NA,2019-01-11,4.76217393479776,"0"
"12",NA,"ACTUAL","actual",2019-01-12,86,NA,NA,2019-01-12,4.46590811865458,"0"
"13",NA,"ACTUAL","actual",2019-01-13,198,NA,NA,2019-01-13,5.29330482472449,"0"
"14",NA,"ACTUAL","actual",2019-01-14,578,NA,NA,2019-01-14,6.361302477573,"0"
"15",NA,"ACTUAL","actual",2019-01-15,1087,NA,NA,2019-01-15,6.99209642741589,"0"
"16",NA,"ACTUAL","actual",2019-01-16,1587,NA,NA,2019-01-16,7.37023064180708,"0"
"17",NA,"ACTUAL","actual",2019-01-17,1842,NA,NA,2019-01-17,7.51914995766982,"0"
"18",NA,"ACTUAL","actual",2019-01-18,818,NA,NA,2019-01-18,6.70808408385307,"0"
"19",NA,"ACTUAL","actual",2019-01-19,135,NA,NA,2019-01-19,4.91265488573605,"0"
"20",NA,"ACTUAL","actual",2019-01-20,122,NA,NA,2019-01-20,4.81218435537242,"0"
