"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event"
"1",NA,"ACTUAL","actual",2021-01-01,0,NA,NA,2021-01-01,0,"0"
"2",NA,"ACTUAL","actual",2021-01-02,0,NA,NA,2021-01-02,0,"0"
"3",NA,"ACTUAL","actual",2021-01-03,0,NA,NA,2021-01-03,0,"0"
"4",NA,"ACTUAL","actual",2021-01-04,0,NA,NA,2021-01-04,0,"0"
"5",NA,"ACTUAL","actual",2021-01-05,0,NA,NA,2021-01-05,0,"0"
"6",NA,"ACTUAL","actual",2021-01-06,0,NA,NA,2021-01-06,0,"0"
"7",NA,"ACTUAL","actual",2021-01-07,0,NA,NA,2021-01-07,0,"0"
"8",NA,"ACTUAL","actual",2021-01-08,0,NA,NA,2021-01-08,0,"0"
"9",NA,"ACTUAL","actual",2021-01-09,0,NA,NA,2021-01-09,0,"0"
"10",NA,"ACTUAL","actual",2021-01-10,0,NA,NA,2021-01-10,0,"0"
"11",NA,"ACTUAL","actual",2021-01-11,0,NA,NA,2021-01-11,0,"0"
"12",NA,"ACTUAL","actual",2021-01-12,0,NA,NA,2021-01-12,0,"0"
"13",NA,"ACTUAL","actual",2021-01-13,0,NA,NA,2021-01-13,0,"0"
"14",NA,"ACTUAL","actual",2021-01-14,0,NA,NA,2021-01-14,0,"0"
"15",NA,"ACTUAL","actual",2021-01-15,0,NA,NA,2021-01-15,0,"0"
"16",NA,"ACTUAL","actual",2021-01-16,0,NA,NA,2021-01-16,0,"0"
"17",NA,"ACTUAL","actual",2021-01-17,0,NA,NA,2021-01-17,0,"0"
"18",NA,"ACTUAL","actual",2021-01-18,0,NA,NA,2021-01-18,0,"0"
"19",NA,"ACTUAL","actual",2021-01-19,0,NA,NA,2021-01-19,0,"0"
"20",NA,"ACTUAL","actual",2021-01-20,0,NA,NA,2021-01-20,0,"0"
"21",NA,"ACTUAL","actual",2021-01-21,0,NA,NA,2021-01-21,0,"0"
"22",NA,"ACTUAL","actual",2021-01-22,0,NA,NA,2021-01-22,0,"0"
"23",NA,"ACTUAL","actual",2021-01-23,0,NA,NA,2021-01-23,0,"0"
"24",NA,"ACTUAL","actual",2021-01-24,0,NA,NA,2021-01-24,0,"0"
"25",NA,"ACTUAL","actual",2021-01-25,0,NA,NA,2021-01-25,0,"0"
"26",NA,"ACTUAL","actual",2021-01-26,0,NA,NA,2021-01-26,0,"0"
"27",NA,"ACTUAL","actual",2021-01-27,0,NA,NA,2021-01-27,0,"0"
"28",NA,"ACTUAL","actual",2021-01-28,0,NA,NA,2021-01-28,0,"0"
"29",NA,"ACTUAL","actual",2021-01-29,0,NA,NA,2021-01-29,0,"0"
"30",NA,"ACTUAL","actual",2021-01-30,0,NA,NA,2021-01-30,0,"0"
"31",NA,"ACTUAL","actual",2021-01-31,0,NA,NA,2021-01-31,0,"0"
"32",NA,"ACTUAL","actual",2021-02-01,0,NA,NA,2021-02-01,0,"0"
"33",NA,"ACTUAL","actual",2021-02-02,0,NA,NA,2021-02-02,0,"0"
"34",NA,"ACTUAL","actual",2021-02-03,0,NA,NA,2021-02-03,0,"0"
"35",NA,"ACTUAL","actual",2021-02-04,0,NA,NA,2021-02-04,0,"0"
"36",NA,"ACTUAL","actual",2021-02-05,0,NA,NA,2021-02-05,0,"0"
"37",NA,"ACTUAL","actual",2021-02-06,0,NA,NA,2021-02-06,0,"0"
"38",NA,"ACTUAL","actual",2021-02-07,0,NA,NA,2021-02-07,0,"0"
"39",NA,"ACTUAL","actual",2021-02-08,0,NA,NA,2021-02-08,0,"0"
"40",NA,"ACTUAL","actual",2021-02-09,0,NA,NA,2021-02-09,0,"0"
"41",NA,"ACTUAL","actual",2021-02-10,0,NA,NA,2021-02-10,0,"0"
"42",NA,"ACTUAL","actual",2021-02-11,0,NA,NA,2021-02-11,0,"0"
"43",NA,"ACTUAL","actual",2021-02-12,0,NA,NA,2021-02-12,0,"0"
"44",NA,"ACTUAL","actual",2021-02-13,0,NA,NA,2021-02-13,0,"0"
"45",NA,"ACTUAL","actual",2021-02-14,0,NA,NA,2021-02-14,0,"0"
"46",NA,"ACTUAL","actual",2021-02-15,0,NA,NA,2021-02-15,0,"0"
"47",NA,"ACTUAL","actual",2021-02-16,0,NA,NA,2021-02-16,0,"0"
"48",NA,"ACTUAL","actual",2021-02-17,0,NA,NA,2021-02-17,0,"0"
"49",NA,"ACTUAL","actual",2021-02-18,0,NA,NA,2021-02-18,0,"0"
