"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event"
"1",NA,"ACTUAL","actual",2019-01-01,21,NA,NA,2019-01-01,3.09104245335832,"0"
"2",NA,"ACTUAL","actual",2019-01-02,297,NA,NA,2019-01-02,5.6970934865054,"0"
"3",NA,"ACTUAL","actual",2019-01-03,227,NA,NA,2019-01-03,5.42934562895444,"0"
"4",NA,"ACTUAL","actual",2019-01-04,305,NA,NA,2019-01-04,5.72358510195238,"0"
"5",NA,"ACTUAL","actual",2019-01-05,14,NA,NA,2019-01-05,2.70805020110221,"0"
"6",NA,"ACTUAL","actual",2019-01-06,9,NA,NA,2019-01-06,2.30258509299405,"0"
"7",NA,"ACTUAL","actual",2019-01-07,314,NA,NA,2019-01-07,5.75257263882563,"0"
"8",NA,"ACTUAL","actual",2019-01-08,353,NA,NA,2019-01-08,5.86929691313377,"0"
"9",NA,"ACTUAL","actual",2019-01-09,332,NA,NA,2019-01-09,5.80814248998044,"0"
"10",NA,"ACTUAL","actual",2019-01-10,262,NA,NA,2019-01-10,5.57215403217776,"0"
"11",NA,"ACTUAL","actual",2019-01-11,250,NA,NA,2019-01-11,5.52545293913178,"0"
"12",NA,"ACTUAL","actual",2019-01-12,8,NA,NA,2019-01-12,2.19722457733622,"0"
"13",NA,"ACTUAL","actual",2019-01-13,7,NA,NA,2019-01-13,2.07944154167984,"0"
"14",NA,"ACTUAL","actual",2019-01-14,278,NA,NA,2019-01-14,5.63121178182137,"0"
"15",NA,"ACTUAL","actual",2019-01-15,300,NA,NA,2019-01-15,5.70711026474888,"0"
"16",NA,"ACTUAL","actual",2019-01-16,258,NA,NA,2019-01-16,5.55682806169954,"0"
"17",NA,"ACTUAL","actual",2019-01-17,280,NA,NA,2019-01-17,5.63835466933375,"0"
"18",NA,"ACTUAL","actual",2019-01-18,281,NA,NA,2019-01-18,5.64190707093811,"0"
"19",NA,"ACTUAL","actual",2019-01-19,5,NA,NA,2019-01-19,1.79175946922805,"0"
"20",NA,"ACTUAL","actual",2019-01-20,11,NA,NA,2019-01-20,2.484906649788,"0"
"21",NA,"ACTUAL","actual",2019-01-21,178,NA,NA,2019-01-21,5.18738580584075,"0"
"22",NA,"ACTUAL","actual",2019-01-22,254,NA,NA,2019-01-22,5.54126354515843,"0"
"23",NA,"ACTUAL","actual",2019-01-23,258,NA,NA,2019-01-23,5.55682806169954,"0"
"24",NA,"ACTUAL","actual",2019-01-24,237,NA,NA,2019-01-24,5.47227067367148,"0"
"25",NA,"ACTUAL","actual",2019-01-25,182,NA,NA,2019-01-25,5.20948615284142,"0"
"26",NA,"ACTUAL","actual",2019-01-26,53,NA,NA,2019-01-26,3.98898404656427,"0"
"27",NA,"ACTUAL","actual",2019-01-27,10,NA,NA,2019-01-27,2.39789527279837,"0"
"28",NA,"ACTUAL","actual",2019-01-28,311,NA,NA,2019-01-28,5.74300318780948,"0"
