"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi","Date","NCO_trans_clean_drop","holiday_name_event"
"1",NA,"ACTUAL","actual",2019-01-01,432,NA,NA,2019-01-01,6.07073772800249,"0"
"2",NA,"ACTUAL","actual",2019-01-02,1306,NA,NA,2019-01-02,7.17548971362422,"0"
"3",NA,"ACTUAL","actual",2019-01-03,1029,NA,NA,2019-01-03,6.93731408122368,"0"
"4",NA,"ACTUAL","actual",2019-01-04,783,NA,NA,2019-01-04,6.66440902035041,"0"
"5",NA,"ACTUAL","actual",2019-01-05,372,NA,NA,2019-01-05,5.92157841964382,"0"
"6",NA,"ACTUAL","actual",2019-01-06,195,NA,NA,2019-01-06,5.27811465923052,"0"
"7",NA,"ACTUAL","actual",2019-01-07,645,NA,NA,2019-01-07,6.4707995037826,"0"
"8",NA,"ACTUAL","actual",2019-01-08,532,NA,NA,2019-01-08,6.27852142416584,"0"
"9",NA,"ACTUAL","actual",2019-01-09,613,NA,NA,2019-01-09,6.41999492814714,"0"
"10",NA,"ACTUAL","actual",2019-01-10,548,NA,NA,2019-01-10,6.30809844150953,"0"
"11",NA,"ACTUAL","actual",2019-01-11,485,NA,NA,2019-01-11,6.18620862390049,"0"
"12",NA,"ACTUAL","actual",2019-01-12,318,NA,NA,2019-01-12,5.76519110278484,"0"
"13",NA,"ACTUAL","actual",2019-01-13,200,NA,NA,2019-01-13,5.30330490805908,"0"
"14",NA,"ACTUAL","actual",2019-01-14,649,NA,NA,2019-01-14,6.47697236288968,"0"
"15",NA,"ACTUAL","actual",2019-01-15,624,NA,NA,2019-01-15,6.4377516497364,"0"
"16",NA,"ACTUAL","actual",2019-01-16,597,NA,NA,2019-01-16,6.39359075395063,"0"
"17",NA,"ACTUAL","actual",2019-01-17,502,NA,NA,2019-01-17,6.22059017009974,"0"
"18",NA,"ACTUAL","actual",2019-01-18,574,NA,NA,2019-01-18,6.35437004079735,"0"
"19",NA,"ACTUAL","actual",2019-01-19,290,NA,NA,2019-01-19,5.67332326717149,"0"
"20",NA,"ACTUAL","actual",2019-01-20,160,NA,NA,2019-01-20,5.08140436498446,"0"
"21",NA,"ACTUAL","actual",2019-01-21,452,NA,NA,2019-01-21,6.11589212548303,"0"
"22",NA,"ACTUAL","actual",2019-01-22,773,NA,NA,2019-01-22,6.65157187358973,"0"
"23",NA,"ACTUAL","actual",2019-01-23,708,NA,NA,2019-01-23,6.56385552653213,"0"
"24",NA,"ACTUAL","actual",2019-01-24,635,NA,NA,2019-01-24,6.45519856334012,"0"
"25",NA,"ACTUAL","actual",2019-01-25,701,NA,NA,2019-01-25,6.55393340402581,"0"
"26",NA,"ACTUAL","actual",2019-01-26,285,NA,NA,2019-01-26,5.65599181081985,"0"
"27",NA,"ACTUAL","actual",2019-01-27,181,NA,NA,2019-01-27,5.2040066870768,"0"
"28",NA,"ACTUAL","actual",2019-01-28,722,NA,NA,2019-01-28,6.58340922215876,"0"
"29",NA,"ACTUAL","actual",2019-01-29,639,NA,NA,2019-01-29,6.46146817635372,"0"
"30",NA,"ACTUAL","actual",2019-01-30,632,NA,NA,2019-01-30,6.45047042214418,"0"
"31",NA,"ACTUAL","actual",2019-01-31,875,NA,NA,2019-01-31,6.77536609093639,"0"
"32",NA,"ACTUAL","actual",2019-02-01,1180,NA,NA,2019-02-01,7.07411681619736,"0"
"33",NA,"ACTUAL","actual",2019-02-02,549,NA,NA,2019-02-02,6.30991827822652,"0"
"34",NA,"ACTUAL","actual",2019-02-03,330,NA,NA,2019-02-03,5.80211837537706,"0"
"35",NA,"ACTUAL","actual",2019-02-04,984,NA,NA,2019-02-04,6.89264164117209,"0"
"36",NA,"ACTUAL","actual",2019-02-05,704,NA,NA,2019-02-05,6.55819780281227,"0"
"37",NA,"ACTUAL","actual",2019-02-06,564,NA,NA,2019-02-06,6.33682573114644,"0"
"38",NA,"ACTUAL","actual",2019-02-07,526,NA,NA,2019-02-07,6.26720054854136,"0"
"39",NA,"ACTUAL","actual",2019-02-08,459,NA,NA,2019-02-08,6.13122648948314,"0"
"40",NA,"ACTUAL","actual",2019-02-09,243,NA,NA,2019-02-09,5.4971682252932,"0"
"41",NA,"ACTUAL","actual",2019-02-10,210,NA,NA,2019-02-10,5.35185813347607,"0"
"42",NA,"ACTUAL","actual",2019-02-11,547,NA,NA,2019-02-11,6.30627528694802,"0"
"43",NA,"ACTUAL","actual",2019-02-12,529,NA,NA,2019-02-12,6.27287700654617,"0"
"44",NA,"ACTUAL","actual",2019-02-13,475,NA,NA,2019-02-13,6.16541785423142,"0"
"45",NA,"ACTUAL","actual",2019-02-14,521,NA,NA,2019-02-14,6.25766758788264,"0"
"46",NA,"ACTUAL","actual",2019-02-15,576,NA,NA,2019-02-15,6.3578422665081,"0"
"47",NA,"ACTUAL","actual",2019-02-16,304,NA,NA,2019-02-16,5.72031177660741,"0"
"48",NA,"ACTUAL","actual",2019-02-17,175,NA,NA,2019-02-17,5.17048399503815,"0"
"49",NA,"ACTUAL","actual",2019-02-18,472,NA,NA,2019-02-18,6.15909538849193,"0"
"50",NA,"ACTUAL","actual",2019-02-19,725,NA,NA,2019-02-19,6.5875500148248,"0"
"51",NA,"ACTUAL","actual",2019-02-20,707,NA,NA,2019-02-20,6.56244409369372,"0"
"52",NA,"ACTUAL","actual",2019-02-21,651,NA,NA,2019-02-21,6.48004456192665,"0"
"53",NA,"ACTUAL","actual",2019-02-22,729,NA,NA,2019-02-22,6.59304453414244,"0"
"54",NA,"ACTUAL","actual",2019-02-23,342,NA,NA,2019-02-23,5.83773044716594,"0"
"55",NA,"ACTUAL","actual",2019-02-24,227,NA,NA,2019-02-24,5.42934562895444,"0"
"56",NA,"ACTUAL","actual",2019-02-25,839,NA,NA,2019-02-25,6.73340189183736,"0"
"57",NA,"ACTUAL","actual",2019-02-26,720,NA,NA,2019-02-26,6.58063913728495,"0"
"58",NA,"ACTUAL","actual",2019-02-27,805,NA,NA,2019-02-27,6.69208374250663,"0"
"59",NA,"ACTUAL","actual",2019-02-28,1045,NA,NA,2019-02-28,6.95272864462487,"0"
"60",NA,"ACTUAL","actual",2019-03-01,1305,NA,NA,2019-03-01,7.17472430983638,"0"
"61",NA,"ACTUAL","actual",2019-03-02,588,NA,NA,2019-03-02,6.37842618365159,"0"
"62",NA,"ACTUAL","actual",2019-03-03,461,NA,NA,2019-03-03,6.13556489108174,"0"
"63",NA,"ACTUAL","actual",2019-03-04,1026,NA,NA,2019-03-04,6.93439720992856,"0"
"64",NA,"ACTUAL","actual",2019-03-05,858,NA,NA,2019-03-05,6.75576892198425,"0"
"65",NA,"ACTUAL","actual",2019-03-06,689,NA,NA,2019-03-06,6.5366915975913,"0"
"66",NA,"ACTUAL","actual",2019-03-07,576,NA,NA,2019-03-07,6.3578422665081,"0"
"67",NA,"ACTUAL","actual",2019-03-08,598,NA,NA,2019-03-08,6.39526159811545,"0"
"68",NA,"ACTUAL","actual",2019-03-09,318,NA,NA,2019-03-09,5.76519110278484,"0"
"69",NA,"ACTUAL","actual",2019-03-10,223,NA,NA,2019-03-10,5.41164605185504,"0"
"70",NA,"ACTUAL","actual",2019-03-11,685,NA,NA,2019-03-11,6.53087762772588,"0"
"71",NA,"ACTUAL","actual",2019-03-12,668,NA,NA,2019-03-12,6.50578406012823,"0"
"72",NA,"ACTUAL","actual",2019-03-13,593,NA,NA,2019-03-13,6.38687931936265,"0"
"73",NA,"ACTUAL","actual",2019-03-14,609,NA,NA,2019-03-14,6.41345895716736,"0"
"74",NA,"ACTUAL","actual",2019-03-15,627,NA,NA,2019-03-15,6.4425401664682,"0"
"75",NA,"ACTUAL","actual",2019-03-16,329,NA,NA,2019-03-16,5.79909265446053,"0"
"76",NA,"ACTUAL","actual",2019-03-17,227,NA,NA,2019-03-17,5.42934562895444,"0"
"77",NA,"ACTUAL","actual",2019-03-18,788,NA,NA,2019-03-18,6.67076632084587,"0"
"78",NA,"ACTUAL","actual",2019-03-19,676,NA,NA,2019-03-19,6.51767127291227,"0"
"79",NA,"ACTUAL","actual",2019-03-20,685,NA,NA,2019-03-20,6.53087762772588,"0"
"80",NA,"ACTUAL","actual",2019-03-21,603,NA,NA,2019-03-21,6.40357419793482,"0"
"81",NA,"ACTUAL","actual",2019-03-22,713,NA,NA,2019-03-22,6.57088296233958,"0"
"82",NA,"ACTUAL","actual",2019-03-23,421,NA,NA,2019-03-23,6.04500531403601,"0"
"83",NA,"ACTUAL","actual",2019-03-24,263,NA,NA,2019-03-24,5.57594910314632,"0"
"84",NA,"ACTUAL","actual",2019-03-25,844,NA,NA,2019-03-25,6.73933662735717,"0"
"85",NA,"ACTUAL","actual",2019-03-26,749,NA,NA,2019-03-26,6.62007320653036,"0"
"86",NA,"ACTUAL","actual",2019-03-27,702,NA,NA,2019-03-27,6.55535689181067,"0"
"87",NA,"ACTUAL","actual",2019-03-28,685,NA,NA,2019-03-28,6.53087762772588,"0"
"88",NA,"ACTUAL","actual",2019-03-29,887,NA,NA,2019-03-29,6.78897174299217,"0"
"89",NA,"ACTUAL","actual",2019-03-30,394,NA,NA,2019-03-30,5.97888576490112,"0"
"90",NA,"ACTUAL","actual",2019-03-31,301,NA,NA,2019-03-31,5.71042701737487,"0"
"91",NA,"ACTUAL","actual",2019-04-01,1162,NA,NA,2019-04-01,7.05875815251866,"0"
"92",NA,"ACTUAL","actual",2019-04-02,801,NA,NA,2019-04-02,6.68710860786651,"0"
"93",NA,"ACTUAL","actual",2019-04-03,741,NA,NA,2019-04-03,6.60934924316738,"0"
"94",NA,"ACTUAL","actual",2019-04-04,651,NA,NA,2019-04-04,6.48004456192665,"0"
"95",NA,"ACTUAL","actual",2019-04-05,664,NA,NA,2019-04-05,6.49978704065585,"0"
"96",NA,"ACTUAL","actual",2019-04-06,284,NA,NA,2019-04-06,5.65248918026865,"0"
"97",NA,"ACTUAL","actual",2019-04-07,141,NA,NA,2019-04-07,4.95582705760126,"0"
"98",NA,"ACTUAL","actual",2019-04-08,558,NA,NA,2019-04-08,6.3261494731551,"0"
"99",NA,"ACTUAL","actual",2019-04-09,502,NA,NA,2019-04-09,6.22059017009974,"0"
"100",NA,"ACTUAL","actual",2019-04-10,451,NA,NA,2019-04-10,6.11368217983223,"0"
"101",NA,"ACTUAL","actual",2019-04-11,459,NA,NA,2019-04-11,6.13122648948314,"0"
"102",NA,"ACTUAL","actual",2019-04-12,556,NA,NA,2019-04-12,6.32256523992728,"0"
"103",NA,"ACTUAL","actual",2019-04-13,256,NA,NA,2019-04-13,5.54907608489522,"0"
"104",NA,"ACTUAL","actual",2019-04-14,212,NA,NA,2019-04-14,5.36129216570943,"0"
"105",NA,"ACTUAL","actual",2019-04-15,653,NA,NA,2019-04-15,6.4831073514572,"0"
"106",NA,"ACTUAL","actual",2019-04-16,631,NA,NA,2019-04-16,6.44888939414686,"0"
"107",NA,"ACTUAL","actual",2019-04-17,494,NA,NA,2019-04-17,6.20455776256869,"0"
"108",NA,"ACTUAL","actual",2019-04-18,572,NA,NA,2019-04-18,6.35088571671474,"0"
"109",NA,"ACTUAL","actual",2019-04-19,580,NA,NA,2019-04-19,6.36475075685191,"0"
"110",NA,"ACTUAL","actual",2019-04-20,296,NA,NA,2019-04-20,5.6937321388027,"0"
"111",NA,"ACTUAL","actual",2019-04-21,144,NA,NA,2019-04-21,4.97673374242057,"0"
"112",NA,"ACTUAL","actual",2019-04-22,785,NA,NA,2019-04-22,6.66695679242921,"0"
"113",NA,"ACTUAL","actual",2019-04-23,736,NA,NA,2019-04-23,6.60258789218934,"0"
"114",NA,"ACTUAL","actual",2019-04-24,586,NA,NA,2019-04-24,6.3750248198281,"0"
"115",NA,"ACTUAL","actual",2019-04-25,557,NA,NA,2019-04-25,6.32435896238131,"0"
"116",NA,"ACTUAL","actual",2019-04-26,560,NA,NA,2019-04-26,6.3297209055227,"0"
"117",NA,"ACTUAL","actual",2019-04-27,294,NA,NA,2019-04-27,5.68697535633982,"0"
"118",NA,"ACTUAL","actual",2019-04-28,189,NA,NA,2019-04-28,5.24702407216049,"0"
"119",NA,"ACTUAL","actual",2019-04-29,765,NA,NA,2019-04-29,6.64118216974059,"0"
"120",NA,"ACTUAL","actual",2019-04-30,842,NA,NA,2019-04-30,6.73696695800186,"0"
"121",NA,"ACTUAL","actual",2019-05-01,1078,NA,NA,2019-05-01,6.98378996525813,"0"
"122",NA,"ACTUAL","actual",2019-05-02,781,NA,NA,2019-05-02,6.66185474054531,"0"
"123",NA,"ACTUAL","actual",2019-05-03,803,NA,NA,2019-05-03,6.68959926917897,"0"
"124",NA,"ACTUAL","actual",2019-05-04,340,NA,NA,2019-05-04,5.83188247728352,"0"
"125",NA,"ACTUAL","actual",2019-05-05,253,NA,NA,2019-05-05,5.53733426701854,"0"
"126",NA,"ACTUAL","actual",2019-05-06,583,NA,NA,2019-05-06,6.36990098282823,"0"
"127",NA,"ACTUAL","actual",2019-05-07,521,NA,NA,2019-05-07,6.25766758788264,"0"
"128",NA,"ACTUAL","actual",2019-05-08,470,NA,NA,2019-05-08,6.15485809401642,"0"
"129",NA,"ACTUAL","actual",2019-05-09,395,NA,NA,2019-05-09,5.98141421125448,"0"
"130",NA,"ACTUAL","actual",2019-05-10,497,NA,NA,2019-05-10,6.21060007702465,"0"
"131",NA,"ACTUAL","actual",2019-05-11,224,NA,NA,2019-05-11,5.41610040220442,"0"
"132",NA,"ACTUAL","actual",2019-05-12,127,NA,NA,2019-05-12,4.85203026391962,"0"
"133",NA,"ACTUAL","actual",2019-05-13,528,NA,NA,2019-05-13,6.2709884318583,"0"
"134",NA,"ACTUAL","actual",2019-05-14,621,NA,NA,2019-05-14,6.43294009273918,"0"
"135",NA,"ACTUAL","actual",2019-05-15,588,NA,NA,2019-05-15,6.37842618365159,"0"
"136",NA,"ACTUAL","actual",2019-05-16,557,NA,NA,2019-05-16,6.32435896238131,"0"
"137",NA,"ACTUAL","actual",2019-05-17,556,NA,NA,2019-05-17,6.32256523992728,"0"
"138",NA,"ACTUAL","actual",2019-05-18,327,NA,NA,2019-05-18,5.79301360838414,"0"
"139",NA,"ACTUAL","actual",2019-05-19,209,NA,NA,2019-05-19,5.34710753071747,"0"
"140",NA,"ACTUAL","actual",2019-05-20,745,NA,NA,2019-05-20,6.61472560020376,"0"
"141",NA,"ACTUAL","actual",2019-05-21,698,NA,NA,2019-05-21,6.54965074223381,"0"
"142",NA,"ACTUAL","actual",2019-05-22,627,NA,NA,2019-05-22,6.4425401664682,"0"
"143",NA,"ACTUAL","actual",2019-05-23,544,NA,NA,2019-05-23,6.30078579466324,"0"
"144",NA,"ACTUAL","actual",2019-05-24,579,NA,NA,2019-05-24,6.36302810354046,"0"
"145",NA,"ACTUAL","actual",2019-05-25,271,NA,NA,2019-05-25,5.605802066296,"0"
"146",NA,"ACTUAL","actual",2019-05-26,140,NA,NA,2019-05-26,4.94875989037817,"0"
"147",NA,"ACTUAL","actual",2019-05-27,238,NA,NA,2019-05-27,5.47646355193151,"0"
"148",NA,"ACTUAL","actual",2019-05-28,830,NA,NA,2019-05-28,6.72262979485545,"0"
